i,door,worker,planner,checker,usd,usd_worker,usd_planner,usd_checker,usd_other,wall_min,rating,major,minor,tokens_in,tokens_out,calls
40,do,deepseek/deepseek-v4-pro-0813,anthropic/claude-fable-5.1,-,2.8365,2.6414,0.1951,0.0000,0.0000,7.60,3,1,1,892908,60603,39
41,do,deepseek/deepseek-v4-flash-0731,anthropic/claude-fable-5.1,-,2.4219,2.2332,0.1886,0.0000,0.0000,9.10,1,1,0,1807602,56462,63
42,do,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,-,0.1770,0.0101,0.1669,0.0000,0.0000,7.10,1,0,0,204799,19656,19
43,do,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,-,1.1773,1.0677,0.1095,0.0000,0.0000,36.40,4,0,1,765400,78858,33
44,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,0.1406,0.0550,0.0000,0.0788,0.0068,8.10,3,1,1,1232799,20172,39
45,task,z-ai/glm-5.3,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.7518,0.5717,0.0000,0.1764,0.0036,8.30,5,0,0,1271774,48620,31
46,do,z-ai/glm-5.3,qwen/qwen3.8-max-0902,-,2.9381,2.8736,0.0645,0.0000,0.0000,60.00,4,0,1,1872100,469810,110
47,do,qwen/qwen3.8-max-0902,z-ai/glm-5.3-flash,-,1.3004,1.2636,0.0368,0.0000,0.0000,60.00,4,0,1,1834687,134588,76
48,do,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,-,2.5988,2.2772,0.3217,0.0000,0.0000,31.40,4,0,0,2098762,54455,80
49,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.4343,0.2330,0.0000,0.1935,0.0077,32.80,5,0,0,5593515,70759,73
50,task,z-ai/glm-5.3-flash,moonshotai/kimi-k3,anthropic/claude-opus-5,2.3122,0.1256,0.0267,2.1366,0.0233,32.80,5,0,0,4407245,78975,87
51,task,qwen/qwen3.8-max-0902,anthropic/claude-fable-5.1,moonshotai/kimi-k3,3.5834,3.3914,0.0173,0.1695,0.0052,42.40,5,0,0,7215856,101224,95
52,task,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,anthropic/claude-fable-5.1,2.8965,2.0039,0.0000,0.8337,0.0588,50.00,5,0,0,5038666,110720,83
53,do,qwen/qwen3.8-max-0902,anthropic/claude-fable-5.1,-,5.8788,5.5214,0.3574,0.0000,0.0000,42.70,2,1,0,2182161,129627,69
54,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.1367,0.0686,0.0000,0.0606,0.0074,14.10,3,1,0,1151362,29655,33
55,task,z-ai/glm-5.3,anthropic/claude-fable-5.1,moonshotai/kimi-k3,1.3300,1.1071,0.0000,0.2156,0.0073,13.80,5,0,0,3205399,97486,56
56,task,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,anthropic/claude-fable-5.1,5.0057,4.1188,0.0000,0.8861,0.0009,44.80,5,0,0,8991531,109397,105
57,do,z-ai/glm-5.3-flash,qwen/qwen3.8-max-0902,-,0.0371,0.0056,0.0316,0.0000,0.0000,9.80,1,0,0,104465,21647,11
58,task,z-ai/glm-5.3,anthropic/claude-opus-5,anthropic/claude-fable-5.1,1.0496,0.7120,0.0000,0.3344,0.0032,8.60,5,0,0,1700067,47366,33
59,task,z-ai/glm-5.3-flash,z-ai/glm-5.3,moonshotai/kimi-k3,0.1827,0.0847,0.0023,0.0926,0.0030,12.80,3,1,0,1607694,33223,37
60,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.1713,0.0611,0.0000,0.1041,0.0061,9.80,5,0,0,1067824,33492,31
61,task,z-ai/glm-5.3-flash,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,0.6163,0.0137,0.0020,0.2718,0.3289,10.40,3,1,0,931884,28710,30
62,task,z-ai/glm-5.3,anthropic/claude-fable-5.1,anthropic/claude-opus-5,0.9255,0.6501,0.0261,0.2377,0.0115,12.60,5,0,0,1392434,85059,31
63,do,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,-,1.2920,1.1654,0.1266,0.0000,0.0000,28.80,4,0,0,880667,74124,38
64,task,qwen/qwen3.8-max-0902,z-ai/glm-5.3,moonshotai/kimi-k3,1.5847,1.3962,0.0022,0.1831,0.0031,16.80,5,0,0,2958943,35341,57
65,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,-,0.0367,0.0078,0.0288,0.0000,0.0000,6.00,1,0,0,147105,16603,13
66,do,z-ai/glm-5.3-flash,z-ai/glm-5.3,-,0.3643,0.3455,0.0188,0.0000,0.0000,33.00,4,0,1,1953852,95223,83
67,task,z-ai/glm-5.3-flash,z-ai/glm-5.3,anthropic/claude-fable-5.1,0.8584,0.0204,0.5259,0.2433,0.0688,20.70,4,0,1,1806279,88984,44
68,do,z-ai/glm-5.3,qwen/qwen3.8-max-0902,-,0.3518,0.3222,0.0296,0.0000,0.0000,13.70,4,0,0,801666,22884,34
69,task,z-ai/glm-5.3,qwen/qwen3.8-max-0902,moonshotai/kimi-k3,2.0347,1.8277,0.0024,0.1978,0.0068,15.30,3,1,0,5621785,116222,57
70,do,z-ai/glm-5.3,z-ai/glm-5.3-flash,-,1.9285,1.9163,0.0122,0.0000,0.0000,39.20,5,0,0,3509096,235189,137
71,task,z-ai/glm-5.3,qwen/qwen3.8-max-0902,moonshotai/kimi-k3,1.2095,0.7855,0.0032,0.2821,0.1386,24.00,5,0,0,3254009,94498,83
72,do,z-ai/glm-5.3,moonshotai/kimi-k3,-,0.2718,0.2278,0.0439,0.0000,0.0000,13.30,2,1,1,527356,21427,35
73,do,z-ai/glm-5.3,anthropic/claude-opus-5,-,5.1218,5.0551,0.0666,0.0000,0.0000,41.00,5,0,0,2853277,314522,118
74,task,z-ai/glm-5.3,anthropic/claude-opus-5,qwen/qwen3.8-max-0902,0.7049,0.5580,0.0000,0.1114,0.0355,8.90,5,0,0,2060062,23924,65
75,task,z-ai/glm-5.3,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.8102,0.6032,0.0000,0.2039,0.0031,9.60,5,0,0,1421509,12318,41
76,task,z-ai/glm-5.3-flash,z-ai/glm-5.3,qwen/qwen3.8-max-0902,0.2226,0.0730,0.0024,0.1081,0.0390,19.50,5,0,0,2609256,60489,69
77,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,-,0.0686,0.0188,0.0498,0.0000,0.0000,17.20,1,0,0,88995,22264,11
78,task,z-ai/glm-5.3-flash,moonshotai/kimi-k3,anthropic/claude-opus-5,1.1185,0.0891,0.0081,1.0174,0.0038,18.50,5,0,0,2197770,56802,59
79,task,z-ai/glm-5.3,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.5773,0.4374,0.0000,0.1362,0.0037,6.60,4,0,1,1253183,26355,42
80,do,z-ai/glm-5.3,anthropic/claude-fable-5.1,-,9.8581,8.6688,1.1893,0.0000,0.0000,45.30,5,0,0,3168155,385171,117
81,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.5822,0.0169,0.0000,0.1512,0.4141,10.40,5,0,0,1209090,41004,43
82,do,deepseek/deepseek-v4-pro-0813,anthropic/claude-fable-5.1,-,2.8365,2.6414,0.1951,0.0000,0.0000,7.60,3,1,1,892908,60603,39
83,do,deepseek/deepseek-v4-flash-0731,anthropic/claude-fable-5.1,-,2.4219,2.2332,0.1886,0.0000,0.0000,9.10,1,1,0,1807602,56462,63
84,do,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,-,0.1770,0.0101,0.1669,0.0000,0.0000,7.10,1,0,0,204799,19656,19
85,do,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,-,1.1773,1.0677,0.1095,0.0000,0.0000,36.40,4,0,1,765400,78858,33
86,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,0.1406,0.0550,0.0000,0.0788,0.0068,8.10,3,1,1,1232799,20172,39
87,task,z-ai/glm-5.3,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.7518,0.5717,0.0000,0.1764,0.0036,8.30,5,0,0,1271774,48620,31
88,do,z-ai/glm-5.3,qwen/qwen3.8-max-0902,-,2.9381,2.8736,0.0645,0.0000,0.0000,60.00,4,0,1,1872100,469810,110
89,do,qwen/qwen3.8-max-0902,z-ai/glm-5.3-flash,-,1.3004,1.2636,0.0368,0.0000,0.0000,60.00,4,0,1,1834687,134588,76
90,do,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,-,2.5988,2.2772,0.3217,0.0000,0.0000,31.40,4,0,0,2098762,54455,80
91,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.4343,0.2330,0.0000,0.1935,0.0077,32.80,5,0,0,5593515,70759,73
92,task,z-ai/glm-5.3-flash,moonshotai/kimi-k3,anthropic/claude-opus-5,2.3122,0.1256,0.0267,2.1366,0.0233,32.80,5,0,0,4407245,78975,87
93,task,qwen/qwen3.8-max-0902,anthropic/claude-fable-5.1,moonshotai/kimi-k3,3.5834,3.3914,0.0173,0.1695,0.0052,42.40,5,0,0,7215856,101224,95
94,task,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,anthropic/claude-fable-5.1,2.8965,2.0039,0.0000,0.8337,0.0588,50.00,5,0,0,5038666,110720,83
95,do,qwen/qwen3.8-max-0902,anthropic/claude-fable-5.1,-,5.8788,5.5214,0.3574,0.0000,0.0000,42.70,2,1,0,2182161,129627,69
96,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.1367,0.0686,0.0000,0.0606,0.0074,14.10,3,1,0,1151362,29655,33
97,task,z-ai/glm-5.3,anthropic/claude-fable-5.1,moonshotai/kimi-k3,1.3300,1.1071,0.0000,0.2156,0.0073,13.80,5,0,0,3205399,97486,56
98,task,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,anthropic/claude-fable-5.1,5.0057,4.1188,0.0000,0.8861,0.0009,44.80,5,0,0,8991531,109397,105
99,task,z-ai/glm-5.3-flash,moonshotai/kimi-k3,anthropic/claude-opus-5,1.1527,0.1108,0.0088,1.0260,0.0071,31.80,5,0,0,2944689,84576,65
100,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,2.5924,0.0109,0.0173,0.2240,2.3402,19.50,3,0,1,8010861,121840,102
101,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,0.4708,0.1096,0.0000,0.3510,0.0101,25.10,3,0,1,2935777,54205,69
102,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.5254,0.0336,0.0000,0.1407,0.3512,25.20,3,0,1,1367936,59343,41
103,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,0.2955,0.1467,0.0000,0.0954,0.0534,27.20,3,0,1,2866431,62625,75
104,do,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,-,0.1187,0.0585,0.0602,0.0000,0.0000,3.30,4,0,0,736127,39324,28
105,task,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,moonshotai/kimi-k3,0.2461,0.0497,0.0000,0.1928,0.0036,6.90,5,0,0,1271598,30636,36
106,task,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,moonshotai/kimi-k3,0.2126,0.0628,0.0000,0.1455,0.0043,7.20,2,1,0,970746,44691,33
107,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,1.1884,0.0413,0.0000,0.1313,1.0158,20.90,3,1,0,3230929,99944,83
108,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.2021,0.0598,0.0245,0.1137,0.0041,23.90,5,0,0,895583,61807,25
109,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.4469,0.2348,0.0000,0.2085,0.0036,41.00,5,0,0,5365802,115995,86
110,do,z-ai/glm-5.3,anthropic/claude-fable-5.1,-,3.4468,3.2841,0.1628,0.0000,0.0000,19.70,4,0,0,1136471,196976,50
111,do,meta/muse-spark-1.3,anthropic/claude-fable-5.1,-,8.0252,7.7910,0.2342,0.0000,0.0000,41.60,5,0,0,5094736,219373,160
112,do,meta/muse-spark-1.3,anthropic/claude-fable-5.1,-,0.8175,0.5255,0.2920,0.0000,0.0000,37.10,5,0,0,720400,72182,45
113,do,deepseek/deepseek-v4-flash-0731,anthropic/claude-fable-5.1,-,4.9614,4.6774,0.2840,0.0000,0.0000,58.40,2,1,0,3180529,216605,139
114,do,z-ai/glm-5.3,anthropic/claude-fable-5.1,-,0.5006,0.2556,0.2450,0.0000,0.0000,24.70,4,0,0,417519,33044,27
115,do,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,-,11.7651,11.4367,0.3284,0.0000,0.0000,60.00,4,0,0,2278853,102433,89
116,do,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,-,3.9863,3.4398,0.5465,0.0000,0.0000,60.00,3,0,1,1658579,99795,87
117,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,-,0.8798,0.7772,0.1026,0.0000,0.0000,60.00,4,0,0,2054253,89321,99
118,do,z-ai/glm-5.3,anthropic/claude-opus-5,-,6.6693,6.5115,0.1578,0.0000,0.0000,60.00,4,0,0,7753774,256977,225
119,do,z-ai/glm-5.3,anthropic/claude-fable-5.1,-,11.5425,11.1598,0.3827,0.0000,0.0000,50.70,5,0,0,3794843,266778,158
120,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.4589,0.2812,0.0000,0.1672,0.0105,43.00,5,0,0,10717002,81265,116
121,do,z-ai/glm-5.3-flash,anthropic/claude-opus-5,-,1.5752,1.4099,0.1653,0.0000,0.0000,52.00,4,0,0,991636,133082,52
122,do,z-ai/glm-5.3-flash,anthropic/claude-opus-5,-,3.1545,3.0274,0.1270,0.0000,0.0000,58.10,3,1,0,3657555,115066,152
123,do,z-ai/glm-5.3-flash,anthropic/claude-opus-5,-,2.4415,2.3198,0.1217,0.0000,0.0000,60.00,3,1,0,2292316,141054,106
124,do,z-ai/glm-5.3-flash,anthropic/claude-opus-5,-,1.6890,1.5746,0.1144,0.0000,0.0000,60.00,4,0,0,1738217,141777,67
125,task,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,moonshotai/kimi-k3,0.3537,0.2400,0.0000,0.0000,0.1137,56.30,4,0,0,12751657,123027,146
