i,crew,worker,planner,cost_usd,checker_usd,calls,wall_s,rating,major,minor,rules,exit,stop
55,do,z-ai/glm-5.3,moonshotai/kimi-k3,0.3463,,29,867,4,1,1,0,2,incomplete-but-complete
56,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.5820,,0,10,5,0,0,0,0,settled
57,doe,deepseek/deepseek-v4-pro-0813,anthropic/claude-fable-5.1,2.8370,,39,8,3,1,1,0,2,incomplete
58,doe,deepseek/deepseek-v4-flash-0731,anthropic/claude-fable-5.1,2.4220,,63,9,1,1,0,1,0,done
59,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.1770,,19,7,1,0,0,0,2,incomplete
60,do,z-ai/glm-5.3,moonshotai/kimi-k3,0.8074,,57,1898,4,0,1,0,3,stopped-by-coordinator
61,doe,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,1.1770,,33,36,4,0,1,0,2,incomplete
62,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.1410,,0,8,3,1,1,0,0,settled
63,doe,z-ai/glm-5.3,anthropic/claude-fable-5.1,0.7520,,0,8,5,0,0,0,0,settled
64,doe,z-ai/glm-5.3,qwen/qwen3.8-max-0902,2.9380,,110,60,4,0,1,1,3,deadline
65,doe,qwen/qwen3.8-max-0902,z-ai/glm-5.3-flash,1.3000,,76,60,4,0,1,0,3,deadline
66,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,2.5990,,80,31,4,0,0,1,2,incomplete
67,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.4340,,0,33,5,0,0,0,0,settled
68,doe,z-ai/glm-5.3-flash,moonshotai/kimi-k3,2.3120,,0,33,5,0,0,0,0,settled
69,doe,qwen/qwen3.8-max-0902,anthropic/claude-fable-5.1,3.5830,,0,42,5,0,0,0,0,settled
70,doe,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,2.8970,,0,50,5,0,0,0,0,settled
71,doe,qwen/qwen3.8-max-0902,anthropic/claude-fable-5.1,5.8790,,69,43,2,1,0,1,2,incomplete
72,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.1370,,0,14,3,1,0,0,0,settled
73,doe,z-ai/glm-5.3,anthropic/claude-fable-5.1,1.3300,,0,14,5,0,0,0,0,settled
74,doe,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,5.0060,,0,45,5,0,0,0,0,cap
75,do,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.2200,,0,1447,5,0,0,0,2,incomplete
76,doe,z-ai/glm-5.3-flash,moonshotai/kimi-k3,1.1530,,0,32,5,0,0,0,0,settled
77,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,2.5920,,0,20,3,0,1,1,0,settled
78,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.4710,,0,25,3,0,1,1,0,settled
79,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.5250,,0,25,3,0,1,1,0,settled
80,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.2960,,0,27,3,0,1,1,0,settled
81,doe,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.1190,,28,3,4,0,0,1,2,incomplete
82,doe,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.2460,,0,7,5,0,0,0,0,settled
83,doe,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.2130,,0,7,2,1,0,0,0,settled
84,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,1.1880,,0,21,3,1,0,0,0,settled
85,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.2020,,0,24,5,0,0,0,0,settled
86,do,z-ai/glm-5.3-flash,anthropic/claude-opus-5,3.6200,,0,2400,4,0,1,0,3,deadline
87,task+named,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.4700,,0,2536,4,0,4,0,,settled
88,task+named,z-ai/glm-5.3,anthropic/claude-fable-5.1,5.1600,,0,1596,1,0,0,0,,cap
89,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.4470,,0,41,5,0,0,0,0,settled
90,do,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,5.8243,,131,4014,4,0,1,0,3,stopped-stalled-by-coordinator
91,doe,z-ai/glm-5.3,anthropic/claude-fable-5.1,3.4470,,50,20,4,0,0,1,2,incomplete
92,doe,meta/muse-spark-1.3,anthropic/claude-fable-5.1,8.0250,,160,42,5,0,0,0,2,incomplete
93,doe,meta/muse-spark-1.3,anthropic/claude-fable-5.1,0.8180,,45,37,5,0,0,0,2,incomplete
94,doe,deepseek/deepseek-v4-flash-0731,anthropic/claude-fable-5.1,4.9610,,139,58,2,1,0,0,2,incomplete
95,doe,z-ai/glm-5.3,anthropic/claude-fable-5.1,0.5010,,27,25,4,0,0,1,2,incomplete
96,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,11.7650,,89,60,4,0,0,1,2,deadline
97,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,3.9860,,87,60,3,0,1,2,2,deadline
98,doe,z-ai/glm-5.3-flash,moonshotai/kimi-k3,0.8800,,99,60,4,0,0,1,2,deadline
99,doe,z-ai/glm-5.3,anthropic/claude-opus-5,6.6690,,225,60,4,0,0,1,2,deadline
100,doe,z-ai/glm-5.3,anthropic/claude-fable-5.1,11.5430,,158,51,5,0,0,0,2,incomplete
101,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.4590,,116,43,5,0,0,0,0,settled
102,doe,z-ai/glm-5.3-flash,anthropic/claude-opus-5,1.5750,,52,52,4,0,0,1,2,incomplete
103,doe,z-ai/glm-5.3-flash,anthropic/claude-opus-5,3.1550,,152,58,3,1,0,1,2,incomplete
104,do,z-ai/glm-5.3,anthropic/claude-fable-5.1,20.1200,,0,5364,2,1,2,0,2,incomplete
105,doe,z-ai/glm-5.3-flash,anthropic/claude-opus-5,2.4420,,106,60,3,1,0,1,2,deadline
106,doe,z-ai/glm-5.3-flash,anthropic/claude-opus-5,1.6890,,67,60,4,0,0,1,2,deadline
107,doe,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.3540,,146,56,4,0,0,1,0,settled
108,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.1058,,0,1048,4,0,0,0,0,settled
109,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,1.4796,,0,787,5,1,0,0,0,settled
110,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.1977,,0,1311,5,0,0,0,0,settled
112,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,2.1600,,0,1050,5,0,0,1,0,settled
113,task+named,meta/muse-spark-1.3,anthropic/claude-opus-5,1.7700,,0,1746,5,0,0,0,0,settled
114,task+named,meta/muse-spark-1.3,anthropic/claude-opus-5,0.6500,,0,714,5,0,0,0,0,settled
115,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.9600,,0,744,5,0,0,1,0,settled
116,do,meta/muse-spark-1.3,anthropic/claude-opus-5,0.0000,,0,0,5,0,0,0,0,
117,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.0000,,0,0,1,0,0,0,1,
119,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.0000,,0,0,5,0,0,0,0,
120,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,1.4700,,0,4248,4,0,3,0,,settled
121,task+named,meta/muse-spark-1.3,anthropic/claude-opus-5,0.0000,,0,0,4,0,1,0,0,
122,task+named,z-ai/glm-5.3,anthropic/claude-opus-5,0.0000,,0,0,4,0,1,0,0,
124,task+named,z-ai/glm-5.3,anthropic/claude-opus-5,2.4500,,104,19,4,0,1,0,0,settled
125,task+named,z-ai/glm-5.3,anthropic/claude-opus-5,5.1900,,83,19,1,0,0,0,2,cap
126,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.8800,,87,36,5,0,0,0,0,settled
127,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.0300,,10,10,1,0,0,0,2,quiet
128,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,1.5700,,100,26,4,0,1,0,0,settled
129,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.5800,,162,16,4,1,1,0,0,settled
130,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,1.8900,,46,14,1,0,0,0,2,settled
131,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.3100,,51,9,5,0,1,0,0,settled
132,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.5600,,154,53,4,1,1,0,0,settled
133,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.5600,,154,53,4,0,2,0,0,settled
134,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.0000,,0,0,4,0,1,1,0,
135,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.0000,,0,0,5,0,0,0,0,
136,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.5246,,0,486,5,0,0,0,0,settled
137,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.4168,,0,686,4,0,1,0,0,settled
138,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,1.0065,,0,4500,5,0,0,0,0,wall
139,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.0000,,0,0,4,0,0,1,0,
140,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.4671,,0,1977,5,0,0,0,0,settled
141,task+named,z-ai/glm-5.3,anthropic/claude-opus-5,1.7956,,0,1664,5,0,0,0,0,settled
142,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.7674,,0,2743,5,0,1,0,0,settled
143,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.5031,,0,1171,4,0,2,0,0,settled
144,learn-pick,openai/gpt-5.6-sol,openai/gpt-6-astra,1.1220,,32,514,4,0,1,0,0,settled
145,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,5.1343,,108,1765,1,1,0,0,1,cap
146,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,1.3139,,160,1937,5,0,0,0,0,settled
147,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.0000,,0,0,5,0,0,0,0,
148,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.4784,,0,1179,5,0,0,0,0,settled
149,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.0000,,0,0,4,0,1,0,0,
150,task+named,meta/muse-spark-1.3,anthropic/claude-opus-5,0.0000,,0,0,5,0,0,0,0,
151,task+named,meta/muse-spark-1.3,anthropic/claude-opus-5,0.3800,,0,1026,5,0,0,0,0,settled
152,task+named,z-ai/glm-5.3,anthropic/claude-opus-5,1.6249,,0,666,5,0,0,0,0,settled
153,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.7800,,0,1410,5,0,0,1,0,settled
154,task+named,meta/muse-spark-1.3,anthropic/claude-opus-5,1.2200,,0,948,5,0,0,0,0,settled
155,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.8200,,0,1566,4,1,1,0,0,settled
156,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.5331,,0,1574,5,0,0,0,0,settled
157,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.0000,,0,0,1,0,0,0,1,
158,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.0000,,0,0,5,0,0,0,0,
159,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.3631,,0,444,5,0,0,0,0,settled
160,task+learn,openai/gpt-5.6-sol,anthropic/claude-opus-5,0.4800,,0,402,5,0,0,0,0,settled
161,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.1400,,0,390,4,0,1,0,0,settled
162,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.3100,,0,390,5,0,0,0,0,settled
163,task+learn,openai/gpt-5.6-sol,anthropic/claude-opus-5,1.0500,,0,1536,5,0,0,0,0,settled
164,task+learn,openai/gpt-5.6-sol,anthropic/claude-opus-5,1.2500,,0,1950,4,0,2,0,0,settled
165,other,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.8100,,0,1505,4,0,2,0,3,deadline
166,task+learn,openai/gpt-5.6-sol,anthropic/claude-opus-5,0.5200,,0,1633,5,0,0,0,0,settled
167,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.0000,,0,0,5,0,0,0,0,
168,task+named,meta/muse-spark-1.3,anthropic/claude-opus-5,0.5603,,0,495,5,0,0,0,0,settled
169,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.4537,0.1719,0,1740,5,0,0,0,0,killed
170,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,1.9930,1.5003,0,2520,5,0,0,0,0,killed
171,task+named,z-ai/glm-5.3,anthropic/claude-opus-5,0.8718,0.2484,0,1021,5,0,0,0,0,killed
172,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.3257,0.0000,0,627,5,0,1,0,0,settled
173,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.3257,0.2084,0,627,5,0,1,0,0,settled
174,task+named,meta/muse-spark-1.3,anthropic/claude-opus-5,0.7405,0.1833,0,577,5,0,1,0,0,settled
175,task+named,z-ai/glm-5.3,anthropic/claude-opus-5,2.1600,,0,1274,4,0,1,0,0,settled
176,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.8000,,0,606,5,0,0,0,0,settled
177,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.0386,0.0000,0,1380,1,0,0,0,1,killed
178,task door,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.8900,,0,27,3,0,1,0,0,settled
179,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,1.1177,0.9936,0,475,4,0,1,0,0,settled
180,task+learn,openai/gpt-5.6-sol,anthropic/claude-opus-5,0.9100,,0,454,5,0,0,0,0,settled
181,task+learn,openai/gpt-5.6-sol,anthropic/claude-opus-5,0.2500,,0,847,5,0,0,0,0,settled
182,task+learn,openai/gpt-5.6-sol,anthropic/claude-opus-5,1.0900,,0,464,3,1,0,0,0,settled
183,task+learn,openai/gpt-5.6-sol,anthropic/claude-opus-5,0.5400,,0,968,5,0,0,0,0,settled
184,task door,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.6300,,0,32,5,0,0,0,0,settled
185,task+learn,openai/gpt-5.6-sol,anthropic/claude-opus-5,1.3000,,0,2321,4,0,1,0,0,settled
186,task+learn,openai/gpt-5.6-sol,anthropic/claude-opus-5,2.3600,,0,2442,5,0,0,0,0,settled
187,task+learn,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.2500,,0,485,5,0,0,0,0,settled
188,task+learn,openai/gpt-5.6-sol,openai/gpt-6-astra,1.9900,,0,2163,4,0,1,0,0,settled
189,task+learn,openai/gpt-5.6-sol,anthropic/claude-opus-5,1.6500,,0,1374,3,1,0,0,0,settled
190,task+learn,openai/gpt-5.6-sol,openai/gpt-6-astra,1.7400,,0,1576,4,0,1,0,0,settled
191,task door,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.4200,,0,12,5,0,0,0,0,settled
192,task door,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.5900,,0,17,3,1,0,0,0,settled
193,task+learn,openai/gpt-5.6-sol,anthropic/claude-opus-5,1.9100,,0,2295,3,1,0,0,0,settled
194,task door,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.9300,,0,25,5,0,0,0,0,settled
195,task door,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.2600,,0,14,5,0,0,0,0,settled
196,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.0135,0.0000,0,71,1,0,0,0,1,killed
197,other,z-ai/glm-5.3-flash,anthropic/claude-opus-5,1.0700,,0,720,4,0,0,0,0,settled
198,task door,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.3100,,0,9,5,0,0,0,0,settled
199,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.3717,0.2709,0,617,5,0,1,0,0,settled
200,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,1.9416,0.0000,0,2900,1,0,0,0,1,killed
201,task door,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.2000,,0,8,5,0,0,0,0,settled
202,task door,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.1400,,0,6,5,0,0,0,0,settled
203,task+named,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.2790,0.2050,0,506,5,0,0,0,0,settled
205,task+named,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,0.8958,0.8668,0,384,5,0,0,0,0,settled
